lat,lon,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
39.97743,116.36298,248,2,80,1.57,1,356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40.03849,116.59473,208,1,61,1.64,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
39.93633,116.38573999999998,476,1,45,0.95,4,353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.20904,116.72217,1134,2,3,0.06,1,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.98307,116.48557,208,1,41,0.97,1,353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.99067,116.34227,228,1,49,0.95,2,363,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.95417,116.3105,336,1,28,0.7,1,319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.94279,116.39908,1610,2,17,0.34,7,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40.15418,116.55011,228,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
39.98785,116.47357,1342,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.88776,116.46132,201,1,32,0.65,3,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.92814,116.45772,376,1,91,1.76,3,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.88725,116.4683,161,3,2,0.04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.92575,116.37613,268,1,1,0.02,4,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.02807,116.3377,302,15,1,0.02,1,198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40.28642,116.63912,268,1,1,0.09,2,365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39.9482,116.40333,235,2,104,2.08,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39.9183,116.453,651,1,14,0.29,2,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.76242,116.54324,127,1,10,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39.89575,116.46264,248,1,11,0.27,7,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.96165,116.45274,799,4,2,0.29,2,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.96032,116.45277,718,360,13,0.26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89958,116.47443,356,1,3,0.08,31,355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92765,116.61552,215,1,5,0.1,1,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.9383,116.43682,416,1,108,2.19,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.98872,116.48429,530,1,110,2.19,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89556,116.46641,1007,30,0,0.0,1,363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91898,116.51828,302,1,1,0.08,1,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91927,116.28142,591,1,0,0.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.8997,116.49331,389,1,6,0.13,9,352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93436,116.46925,2550,1,0,0.0,1,333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91843,116.45321,651,1,1,0.03,2,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.8731,116.44696,698,1,2,0.14,9,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.90886,116.57231000000002,336,1,17,0.4,7,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.9835,116.43623999999998,503,3,28,0.56,1,245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.05692,116.16553,141,1,5,0.48,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
