school_name,n_places_0,vacancy_rate_0,n_places_1,vacancy_rate_1,n_places_2,vacancy_rate_2,n_places_3,vacancy_rate_3,lat,lon
sembawang primary school,71.0,0.36666666666666653,7.0,0.6611111111111111,0.0,0.6777777777777778,19.0,0.6238095238095238,1.44504364451206,103.821021505387
xinghua primary school,71.0,0.36666666666666653,7.0,0.6866666666666666,0.0,0.6666666666666666,19.0,0.7625,1.35799654685784,103.890216354916
alexandra primary school,71.0,0.37142857142857133,7.0,0.6285714285714286,0.0,0.6095238095238096,19.0,0.5380952380952381,1.29129903505281,103.823940793685
elias park primary school,71.0,0.26666666666666666,7.0,0.6166666666666667,0.0,0.6333333333333333,19.0,0.5111111111111111,1.37503303189649,103.94535776821
yumin primary school,71.0,0.26666666666666666,7.0,0.62,0.0,0.4866666666666667,19.0,0.5133333333333333,1.35145960318228,103.950716122461
kranji primary school,71.0,0.3761904761904762,7.0,0.76,0.0,0.76,19.0,0.7533333333333333,1.39391003097099,103.747415441682
yangzheng primary school,71.0,0.2777777777777778,7.0,0.4611111111111112,0.0,0.42777777777777776,19.0,0.17222222222222222,1.34897202423063,103.868362521917
east spring primary school,71.0,0.2888888888888889,7.0,0.6333333333333333,0.0,0.6055555555555555,19.0,0.5722222222222222,1.35304104609341,103.961797146297
peiying primary school,71.0,0.2888888888888889,7.0,0.6166666666666667,0.0,0.6166666666666667,19.0,0.6666666666666666,1.41740819239645,103.830299468024
juying primary school,71.0,0.3904761904761905,7.0,0.8066666666666666,0.0,0.8333333333333334,19.0,0.8944444444444445,1.33895145085326,103.687833087248
opera estate primary school,71.0,0.29444444444444445,7.0,0.55,0.0,0.6066666666666667,19.0,0.4777777777777778,1.31996875474462,103.923752660472
changkat primary school,71.0,0.3,7.0,0.5933333333333334,0.0,0.6722222222222223,19.0,0.6388888888888888,1.33997334692002,103.952273949753
north view primary school,71.0,0.3,7.0,0.5722222222222222,0.0,0.5888888888888889,19.0,0.4555555555555556,1.42752326591512,103.848190790589
zhonghua primary school,71.0,0.3,7.0,0.66,0.0,0.66,19.0,0.7944444444444444,1.36016673529604,103.869695911447
chij our lady queen of peace,71.0,0.3055555555555556,7.0,0.6166666666666667,0.0,0.6611111111111111,19.0,0.6166666666666667,1.36675801448842,103.767694820161
casuarina primary school,71.0,0.3111111111111111,7.0,0.5666666666666667,0.0,0.4222222222222222,19.0,0.4444444444444444,1.37278901646361,103.957291273316
jing shan primary school,71.0,0.32222222222222224,7.0,0.5933333333333334,0.0,0.4266666666666667,19.0,0.34,1.37189267560203,103.851811070946
ahmad ibrahim primary school,71.0,0.3277777777777778,7.0,0.6666666666666666,0.0,0.7166666666666667,19.0,0.7,1.43368120674913,103.832924289687
